src,Title,Category
https://www.youtube.com/embed/yHvtNw9AkKo,ピカピカプルプルの牛レバーです。 #asmr #nikuhack #肉磨き,niku
https://www.youtube.com/embed/F6AWFcgccT8,A5の霜降りロースを磨いて焼肉カットします。 #asmr #nikuhack #肉磨き #焼肉,niku
https://www.youtube.com/embed/40P0Gi74LcE,和牛のクリを筋引きしてみた🥩肉磨き。,niku
https://www.youtube.com/embed/RldAo3rL2W8,赤牛のランイチを磨きました。 #asmr #nikuhack #肉磨き,niku
https://www.youtube.com/embed/2k5BLdbA_S8,シャトーブリアンをピカピカに磨いて焼いてみた。 #肉磨き #nikuhack #ステーキ #asmr,niku
https://www.youtube.com/embed/1kFQLYtT78k,🥚🍯🍖🐟🍝🍟🧋😋 MIYU ASMR #asmr #asmreating #asmrfood #mukbang #miyuasmr,food
https://www.youtube.com/embed/ipCZ5QIBIPk,🍳🦐🍔🍈🍑🐟🍩 😋 MIYU ASMR #asmr #asmreating #asmrfood #mukbang #miyuasmr,food
https://www.youtube.com/embed/Zcvsj4_0oaY,would you eat this? #shorts,food
https://www.youtube.com/embed/14JYNFiRnhs,【大食い】世界中の調味料でサーモン食べ比べ爆食い#shorts #mukbang #food #asmr #モッパン,food
https://www.youtube.com/embed/A4hQSP9Si_I,ザックザク唐揚げ爆食い#shorts #モッパン #飯テロ #大食い #mukbang #asmr,food
https://www.youtube.com/embed/yHvtNw9AkKo,ピカピカプルプルの牛レバーです。 #asmr #nikuhack #肉磨き,niku
https://www.youtube.com/embed/F6AWFcgccT8,A5の霜降りロースを磨いて焼肉カットします。 #asmr #nikuhack #肉磨き #焼肉,niku
https://www.youtube.com/embed/40P0Gi74LcE,和牛のクリを筋引きしてみた🥩肉磨き。,niku
https://www.youtube.com/embed/RldAo3rL2W8,赤牛のランイチを磨きました。 #asmr #nikuhack #肉磨き,niku
https://www.youtube.com/embed/2k5BLdbA_S8,シャトーブリアンをピカピカに磨いて焼いてみた。 #肉磨き #nikuhack #ステーキ #asmr,niku
https://www.youtube.com/embed/m3IUxH1v6kM,復活カーペット。Part２,zyutan
https://www.youtube.com/embed/G5eMS20Pyys,復活カーペット。Part４,zyutan
https://www.youtube.com/embed/7SI1ZBSUj7s,From Worm-Infested to Good as New in 60 Seconds! Satisfying ASMR Carpet Cleaning. #shorts,zyutan
https://www.youtube.com/embed/cMgr8ajyWxY,A Minute of Magic: Witness the Incredible Transformation of This Filthy Rug! #shorts,zyutan
https://www.youtube.com/embed/bTk75WUV_OA,Frozen Solid Carpet Cleaning! Satisfying ASMR Carpet Clean. #shorts,zyutan
https://www.youtube.com/embed/RcR3VhNQmv0,国旗の色を混ぜると何色になるでしょう？🇯🇵🇺🇸🇦🇷🇩🇪　 #asmr #colormixing,color
https://www.youtube.com/embed/J81W04zBR1Q,Guess the mixed colors  #colormixing #satisfying #asmr,color
https://www.youtube.com/embed/ZiwNbqpiCks,Guess the mixed colors  #colormixing #satisfying #asmr,color
https://www.youtube.com/embed/tuB3lwSSjGI,国旗の色を混ぜると何色になるでしょう？🇮🇹🇨🇦🇬🇧🇮🇳　 #asmr #colormixing,color
https://www.youtube.com/embed/mm5uhzFzJNU,#colormixing #satisfying #relaxing #asmr,color
https://www.youtube.com/embed/eOcZLzVTpHE,Crushing Crunchy &amp; Soft Things ! Breaking glass bottles ⚠️🔥 #shorts,bin
https://www.youtube.com/embed/WKf80QRJPNI,Breaking glass bottles,bin
https://www.youtube.com/embed/ozs73V6RmCI,Breaking glass bottles,bin
https://www.youtube.com/embed/s0Y5S6lYoyk,いろんなビンを階段から落としてみた#shorts,bin
https://www.youtube.com/embed/rLiv7UbxnNA,いろんなビンを階段から落としてみた#shorts,bin
